matchup,games,valid_games,a_wins,b_wins,draws,errors,a_win_rate,wilson_low,wilson_high,mean_turns,mean_decisions,mean_duration_ms
official_lucario_vs_native_crustle_stress,1000,1000,360,640,0,0,0.36,0.3308377297718964,0.39023376260405895,10.478,69.935,17.453845755080692
official_lucario_vs_official_abomasnow,1000,1000,495,504,1,0,0.4954954954954955,0.4645681841959152,0.5264573164743664,9.349,87.182,25.61948778887745
