matchup,games,valid_games,a_wins,b_wins,draws,errors,a_win_rate,wilson_low,wilson_high,mean_turns,mean_decisions,mean_duration_ms
starmie_vs_native_abomasnow,500,500,276,224,0,0,0.552,0.508179738010616,0.5950273305813826,11.184,79.434,13.077841154183261
starmie_vs_native_crustle_stress,500,500,414,86,0,0,0.828,0.7924525525008731,0.8585458801563487,10.016,46.082,7.475602143909782
